movieName,genre,imdb,director,cast
lens,"drama, mystery, thriller",6.9,jayaprakash radhakrishnan,"anand sami, jayaprakash radhakrishnan, misha ghoshal, kulothungan udayakumar"
pulimurugan,action,6.8,vysakh,"mohanlal, jagapathi babu, kamalinee mukherjee, lal"
radiopetti,drama,7.3,hari viswanath,"nivas adithan, lakshmanan koratur, shobana mohan, ramanujam tvv"
vanamagan,"action, adventure",5.5,a.l. vijay,"arjun, akhilesh krishna, prakash raj, shanmugha rajan"
yeidhavan,"action, crime, drama",6,sakthi rajasekaran,"sandra amy, gautham, kalaiyarasan, krishna kumar"
kathanayagan,comedy,4.2,tha. muruganatham,"meera krishna, saranya ponvannan, vijay sethupathi, catherine tresa"
revelations,drama,7.3,vijay jayapal,"arpita banerjee, lakshmi priyaa chandramouli, chetan, aanantharaman karthik"
vasuki,"mystery, thriller",6.5,a.k. sajan,"nayanthara, mammootty, sheelu abraham, roshan mathew"
puriyaatha puthir,thriller,6.6,ranjit jeyakodi,"vijay sethupathi, gayathrie, mahima nambiar, ramesh thilak"
dashing detective,"action, crime, thriller",7.5,myshkin,"vishal, prasanna, vinay rai, anu emmanuel"
kappal,"comedy, romance",6,karthik g. krish,"vaibhav reddy, sonam bajwa, karunakaran, vtv ganesh"
bogan,"action, thriller",6.4,lakshman,"jayam ravi, arvind swamy, hansika motwani, nassar"
maruthamalai,action,5.3,viswanathan ravichandran,"arjun sarja, meera chopra, vadivelu, raghuvaran"
poriyaalan,"drama, thriller",6.1,thanukumar,"anandhi, delhi ganesh, harish kalyan, achuta kumar"
aambala,"action, comedy",4.4,sundar c.,"vishal, hansika motwani, prabhu, vaibhav reddy"
sathuran,thriller,6.6,k. rajeev prasad,"raju easwaran, rajaj, varsha, kaali venkat"
engeyum kadhal,romance,4.9,prabhu deva,"jayam ravi, hansika motwani, suman, raju sundaram"
english karan,comedy,5.3,sakthi chidambaram,"sathyaraj, namitha, madhumitha, vadivelu"
vaalu,"comedy, romance",4.7,vijay chandar,"t.r. silambarasan, hansika motwani, santhanam, vtv ganesh"
khaidi,"action, thriller",8.5,lokesh kanagaraj,"karthi, narain, ramana, george maryan"
